Czas[s],X[g],Y[g],Z[g]
0.0018,-3.0000,-1.0000,0.0000
0.0018,-1.0000,-1.0000,0.0000
0.0023,-1.0000,-1.0000,0.0000
0.0148,-3.0000,-1.0000,0.0000
0.0148,-3.0000,-1.0000,0.0000
0.0148,-1.0000,-1.0000,0.0000
0.0148,-1.0000,-1.0000,0.0000
0.0148,-3.0000,-1.0000,0.0000
0.0148,-3.0000,-1.0000,0.0000
0.0148,-3.0000,-1.0000,0.0000
0.0183,-3.0000,-1.0000,0.0000
0.0307,-3.0000,-1.0000,0.0000
0.0307,-3.0000,-1.0000,0.0000
0.0307,-3.0000,-1.0000,0.0000
0.0307,-3.0000,-1.0000,0.0000
0.0307,-3.0000,-1.0000,0.0000
0.0307,-3.0000,0.0000,0.0000
0.0307,-1.0000,-3.0000,0.0000
0.0307,-3.0000,-3.0000,0.0000
0.0307,-1.0000,-1.0000,0.0000
0.0329,-3.0000,-1.0000,0.0000
0.0334,-3.0000,-1.0000,0.0000
0.0379,-1.0000,-1.0000,0.0000
0.0379,-3.0000,-1.0000,0.0000
0.0379,-3.0000,-1.0000,0.0000
0.0379,-1.0000,-1.0000,0.0000
0.0443,-1.0000,-1.0000,0.0000
0.0443,-1.0000,-1.0000,0.0000
0.0443,-3.0000,-1.0000,0.0000
0.0443,-1.0000,-1.0000,0.0000
0.0466,-3.0000,-1.0000,0.0000
0.0466,-3.0000,-1.0000,0.0000
0.0520,-3.0000,-1.0000,0.0000
0.0574,-3.0000,-1.0000,-1.0000
0.0594,-1.0000,-1.0000,0.0000
0.0594,-1.0000,-1.0000,0.0000
0.0660,-3.0000,-1.0000,0.0000
0.0660,-1.0000,-1.0000,0.0000
0.0660,-3.0000,-3.0000,0.0000
0.0672,-3.0000,-1.0000,0.0000
0.0682,-3.0000,-1.0000,0.0000
0.0781,-3.0000,-1.0000,0.0000
0.0781,-1.0000,-1.0000,0.0000
0.0781,-3.0000,-1.0000,0.0000
0.0781,-1.0000,-1.0000,0.0000
0.0781,-3.0000,-1.0000,0.0000
0.0832,-1.0000,-1.0000,0.0000
0.0832,-1.0000,-1.0000,0.0000
0.1025,-3.0000,-1.0000,0.0000
0.1025,-3.0000,-1.0000,0.0000
0.1025,-1.0000,-1.0000,0.0000
0.1035,-1.0000,-1.0000,0.0000
0.1035,-1.0000,-1.0000,0.0000
0.1035,-1.0000,-1.0000,0.0000
0.1046,-3.0000,-1.0000,0.0000
0.1046,-1.0000,-1.0000,0.0000
0.1046,-1.0000,-1.0000,0.0000
0.1046,-3.0000,0.0000,0.0000
0.1046,-1.0000,-1.0000,0.0000
0.1053,-1.0000,-1.0000,0.0000
0.1207,-3.0000,-1.0000,0.0000
0.1207,-3.0000,-1.0000,0.0000
0.1207,-3.0000,-1.0000,0.0000
0.1207,-1.0000,-1.0000,0.0000
0.1207,-3.0000,-1.0000,0.0000
0.1207,-3.0000,-1.0000,0.0000
0.1301,-1.0000,-1.0000,0.0000
0.1301,-1.0000,-1.0000,0.0000
0.1301,-1.0000,-1.0000,0.0000
0.1301,-3.0000,-1.0000,-1.0000
0.1301,-3.0000,-1.0000,-1.0000
0.1301,-1.0000,-1.0000,-1.0000
0.1301,-1.0000,-1.0000,0.0000
0.1301,-3.0000,-1.0000,0.0000
0.1301,-1.0000,-1.0000,0.0000
0.1420,-1.0000,-1.0000,0.0000
0.1420,-1.0000,-1.0000,0.0000
0.1420,-1.0000,-1.0000,0.0000
0.1420,-3.0000,-1.0000,0.0000
0.1420,-3.0000,-1.0000,0.0000
0.1420,-3.0000,-1.0000,0.0000
0.1461,-1.0000,-1.0000,0.0000
0.1461,-3.0000,-1.0000,0.0000
0.1518,-3.0000,-1.0000,0.0000
0.1518,-3.0000,-1.0000,0.0000
0.1518,-1.0000,-1.0000,0.0000
0.1579,-3.0000,-1.0000,0.0000
0.1579,-3.0000,-1.0000,0.0000
0.1761,-3.0000,-1.0000,0.0000
0.1761,-3.0000,-1.0000,0.0000
0.1761,-3.0000,-1.0000,0.0000
0.1761,-1.0000,-1.0000,0.0000
0.1761,-3.0000,-1.0000,-1.0000
0.1761,-3.0000,-1.0000,0.0000
0.1789,-3.0000,-1.0000,0.0000
0.1789,-3.0000,-1.0000,0.0000
0.1789,-3.0000,-1.0000,0.0000
0.1789,-3.0000,-1.0000,0.0000
0.1859,-3.0000,-1.0000,0.0000
0.1859,-1.0000,-1.0000,0.0000
0.1859,-3.0000,-1.0000,0.0000
0.1859,-1.0000,-1.0000,0.0000
0.1924,-1.0000,0.0000,0.0000
0.1924,-1.0000,-1.0000,0.0000
0.1924,-3.0000,-1.0000,0.0000
0.1924,-3.0000,-1.0000,0.0000
0.1924,-3.0000,-1.0000,0.0000
0.1935,-3.0000,-1.0000,0.0000
0.1955,-1.0000,-1.0000,0.0000
0.1976,-1.0000,-1.0000,0.0000
0.1998,-3.0000,-1.0000,0.0000
0.2066,-3.0000,-1.0000,0.0000
0.2066,-3.0000,-1.0000,0.0000
0.2066,-3.0000,-1.0000,0.0000
0.2184,-1.0000,-1.0000,0.0000
0.2184,-1.0000,-1.0000,0.0000
0.2194,-3.0000,-1.0000,0.0000
0.2240,-3.0000,-1.0000,0.0000
0.2240,-3.0000,-1.0000,0.0000
0.2240,-1.0000,-1.0000,1.0000
0.2240,-1.0000,-1.0000,0.0000
0.2240,-1.0000,-1.0000,-1.0000
0.2354,-1.0000,-1.0000,0.0000
0.2354,-3.0000,-1.0000,0.0000
0.2354,-1.0000,0.0000,0.0000
0.2354,-3.0000,-1.0000,0.0000
0.2354,-3.0000,-1.0000,0.0000
0.2354,-3.0000,-1.0000,0.0000
0.2354,-3.0000,-1.0000,0.0000
0.2453,-3.0000,-1.0000,0.0000
0.2453,-1.0000,-1.0000,0.0000
0.2453,-1.0000,-1.0000,0.0000
0.2453,-3.0000,-1.0000,0.0000
0.2453,-1.0000,-1.0000,0.0000
0.2453,-3.0000,-3.0000,0.0000
0.2453,-3.0000,-1.0000,0.0000
0.2487,-1.0000,-1.0000,0.0000
0.2492,-3.0000,-1.0000,0.0000
0.2492,-1.0000,-1.0000,0.0000
0.2492,-1.0000,-1.0000,0.0000
0.2566,-3.0000,-1.0000,0.0000
0.2566,-3.0000,-1.0000,0.0000
0.2566,-1.0000,-1.0000,0.0000
0.2566,-3.0000,-1.0000,0.0000
0.2566,-3.0000,-1.0000,0.0000
0.2714,-3.0000,-1.0000,0.0000
0.2714,-3.0000,-1.0000,0.0000
0.2714,-1.0000,-1.0000,0.0000
0.2714,-1.0000,-1.0000,0.0000
0.2714,-3.0000,-1.0000,0.0000
0.2714,-3.0000,-1.0000,0.0000
0.2714,-1.0000,-1.0000,0.0000
0.2714,-3.0000,-1.0000,0.0000
0.2756,-3.0000,-1.0000,0.0000
0.2756,-3.0000,-1.0000,0.0000
0.2776,-3.0000,-1.0000,0.0000
0.2914,-3.0000,-1.0000,0.0000
0.2914,-3.0000,-1.0000,0.0000
0.2914,-1.0000,-1.0000,0.0000
0.2914,-1.0000,-1.0000,0.0000
0.2914,-3.0000,-1.0000,0.0000
0.2914,-1.0000,-1.0000,0.0000
0.2914,-3.0000,-1.0000,0.0000
0.2914,-1.0000,-1.0000,0.0000
0.2914,-3.0000,-1.0000,0.0000
0.3022,-3.0000,-1.0000,1.0000
0.3022,-1.0000,-1.0000,0.0000
0.3022,-1.0000,-1.0000,0.0000
0.3028,-1.0000,-1.0000,0.0000
0.3028,-1.0000,-3.0000,0.0000
0.3028,-1.0000,-1.0000,0.0000
0.3099,-3.0000,-1.0000,0.0000
0.3099,-1.0000,-1.0000,0.0000
0.3099,-3.0000,-1.0000,0.0000
0.3099,-1.0000,-1.0000,0.0000
0.3099,-3.0000,-1.0000,0.0000
0.3099,-3.0000,-1.0000,0.0000
0.3174,-3.0000,-1.0000,0.0000
0.3174,-3.0000,-1.0000,0.0000
0.3174,-1.0000,-1.0000,0.0000
0.3174,-1.0000,-1.0000,0.0000
0.3174,-3.0000,-1.0000,-1.0000
0.3263,-3.0000,-1.0000,0.0000
0.3263,-1.0000,-1.0000,0.0000
0.3263,-1.0000,-1.0000,0.0000
0.3263,-3.0000,-1.0000,0.0000
0.3376,-1.0000,-1.0000,0.0000
0.3376,-3.0000,-3.0000,0.0000
0.3376,-1.0000,-1.0000,0.0000
0.3376,-3.0000,-1.0000,0.0000
0.3376,-3.0000,-1.0000,0.0000
0.3376,-1.0000,-1.0000,0.0000
0.3376,-3.0000,-1.0000,0.0000
0.3381,-3.0000,-1.0000,0.0000
0.3381,-3.0000,-1.0000,0.0000
0.3523,-1.0000,-1.0000,0.0000
0.3523,-1.0000,-1.0000,0.0000
0.3523,-3.0000,-1.0000,0.0000
0.3523,-1.0000,-1.0000,0.0000
0.3523,-3.0000,-1.0000,0.0000
0.3523,-1.0000,-1.0000,0.0000
0.3599,-1.0000,-1.0000,0.0000
0.3599,-3.0000,-1.0000,0.0000
0.3599,-3.0000,-1.0000,0.0000
0.3637,-1.0000,-1.0000,0.0000
0.3637,-1.0000,-1.0000,0.0000
0.3753,-3.0000,-1.0000,0.0000
0.3753,-3.0000,-1.0000,0.0000
0.3753,-1.0000,-1.0000,0.0000
0.3753,-3.0000,-1.0000,0.0000
0.3753,-1.0000,-3.0000,0.0000
0.3753,-3.0000,-3.0000,0.0000
0.3753,-1.0000,-1.0000,0.0000
0.3775,-1.0000,-3.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-1.0000,-1.0000,0.0000
0.3890,-3.0000,-1.0000,0.0000
0.3890,-1.0000,-1.0000,0.0000
0.3907,-1.0000,-1.0000,0.0000
0.3985,-1.0000,-1.0000,0.0000
0.3985,-3.0000,-1.0000,0.0000
0.3985,-1.0000,0.0000,0.0000
0.3985,-1.0000,-1.0000,1.0000
0.3985,-1.0000,-1.0000,0.0000
0.3985,-3.0000,-1.0000,0.0000
0.4023,-3.0000,0.0000,0.0000
0.4127,-3.0000,-1.0000,0.0000
0.4127,-3.0000,-1.0000,0.0000
0.4127,-1.0000,-1.0000,0.0000
0.4127,-1.0000,-1.0000,0.0000
0.4127,-3.0000,-1.0000,0.0000
0.4249,-3.0000,-1.0000,0.0000
0.4249,-1.0000,-1.0000,0.0000
0.4249,-3.0000,-1.0000,0.0000
0.4249,-1.0000,-1.0000,0.0000
0.4249,-1.0000,-1.0000,0.0000
0.4249,-3.0000,-1.0000,0.0000
0.4282,-3.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4387,-3.0000,-1.0000,0.0000
0.4387,-3.0000,-1.0000,0.0000
0.4387,-3.0000,-1.0000,0.0000
0.4387,-3.0000,-1.0000,0.0000
0.4387,-1.0000,-1.0000,0.0000
0.4504,-3.0000,-1.0000,0.0000
