Czas[s],X[g],Y[g],Z[g]
0.1925,-1.0000,-1.0000,0.0000
0.1925,-3.0000,-1.0000,0.0000
0.1925,-1.0000,-1.0000,0.0000
0.1925,-1.0000,-3.0000,1.0000
0.1925,-1.0000,-1.0000,1.0000
0.2036,-1.0000,-1.0000,0.0000
0.2036,-1.0000,-1.0000,1.0000
0.2036,-1.0000,-3.0000,0.0000
0.2036,-3.0000,-3.0000,1.0000
0.2036,-1.0000,-1.0000,1.0000
0.2036,-1.0000,-3.0000,0.0000
0.2036,-1.0000,-1.0000,1.0000
0.2141,-3.0000,-1.0000,1.0000
0.2141,-1.0000,-3.0000,0.0000
0.2141,-1.0000,-1.0000,0.0000
0.2141,-1.0000,-1.0000,1.0000
0.2141,-1.0000,-1.0000,0.0000
0.2141,-3.0000,-3.0000,0.0000
0.2141,-1.0000,-1.0000,0.0000
0.2141,-3.0000,-1.0000,0.0000
0.2266,-3.0000,-1.0000,1.0000
0.2271,-1.0000,-1.0000,0.0000
0.2271,-1.0000,-1.0000,0.0000
0.2271,-1.0000,-3.0000,1.0000
0.2271,-1.0000,-3.0000,0.0000
0.2322,-1.0000,-3.0000,0.0000
0.2332,-1.0000,-1.0000,0.0000
0.2342,-1.0000,-3.0000,0.0000
0.2342,-3.0000,-3.0000,0.0000
0.2438,-1.0000,-1.0000,1.0000
0.2449,-1.0000,-1.0000,1.0000
0.2449,-3.0000,-3.0000,0.0000
0.2449,-1.0000,-3.0000,1.0000
0.2449,-1.0000,-1.0000,0.0000
0.2449,-1.0000,-1.0000,0.0000
0.2449,-1.0000,-1.0000,0.0000
0.2449,-1.0000,-1.0000,0.0000
0.2449,-1.0000,-1.0000,0.0000
0.2558,-1.0000,-1.0000,0.0000
0.2558,-1.0000,-3.0000,0.0000
0.2558,-1.0000,-1.0000,0.0000
0.2558,-1.0000,-1.0000,1.0000
0.2558,-1.0000,-1.0000,0.0000
0.2558,-1.0000,-1.0000,1.0000
0.2612,-1.0000,-1.0000,0.0000
0.2623,-1.0000,-1.0000,1.0000
0.2728,-1.0000,-1.0000,1.0000
0.2737,-1.0000,-1.0000,0.0000
0.2737,-1.0000,-1.0000,1.0000
0.2737,-1.0000,-1.0000,1.0000
0.2737,-1.0000,-1.0000,1.0000
0.2737,-3.0000,-1.0000,1.0000
0.2737,-1.0000,-1.0000,0.0000
0.2808,-1.0000,-3.0000,1.0000
0.2808,-1.0000,-1.0000,0.0000
0.2856,-1.0000,-1.0000,1.0000
0.2999,-1.0000,-1.0000,0.0000
0.2999,-1.0000,-1.0000,1.0000
0.2999,-1.0000,-1.0000,1.0000
0.2999,-1.0000,-1.0000,0.0000
0.2999,-1.0000,-1.0000,1.0000
0.2999,-1.0000,-1.0000,0.0000
0.2999,-1.0000,-1.0000,0.0000
0.2999,-1.0000,-1.0000,0.0000
0.3103,-1.0000,-1.0000,0.0000
0.3103,-3.0000,-3.0000,0.0000
0.3103,-1.0000,-1.0000,0.0000
0.3103,-1.0000,-3.0000,0.0000
0.3103,-1.0000,-3.0000,0.0000
0.3103,-1.0000,-3.0000,1.0000
0.3134,-3.0000,-3.0000,0.0000
0.3191,-1.0000,-3.0000,1.0000
0.3276,-1.0000,-3.0000,0.0000
0.3276,-1.0000,-1.0000,0.0000
0.3276,-1.0000,-1.0000,1.0000
0.3287,-1.0000,-1.0000,0.0000
0.3287,-3.0000,-3.0000,0.0000
0.3346,-1.0000,-1.0000,1.0000
0.3346,-1.0000,-3.0000,1.0000
0.3346,-1.0000,-3.0000,0.0000
0.3346,-1.0000,-1.0000,1.0000
0.3346,-3.0000,-1.0000,0.0000
0.3466,-1.0000,-1.0000,0.0000
0.3471,-1.0000,-3.0000,1.0000
0.3471,-1.0000,-1.0000,0.0000
