Czas[s],X[g],Y[g],Z[g]
0.0073,-1.0000,-1.0000,0.0000
0.0073,-1.0000,-1.0000,0.0000
0.0073,-1.0000,-1.0000,0.0000
0.0073,-1.0000,-1.0000,0.0000
0.0073,-1.0000,-1.0000,0.0000
0.0249,-1.0000,-1.0000,0.0000
0.0249,-1.0000,-1.0000,0.0000
0.0249,-1.0000,-1.0000,0.0000
0.0249,-1.0000,-1.0000,0.0000
0.0249,-1.0000,-1.0000,0.0000
0.0254,-1.0000,-1.0000,0.0000
0.0254,-1.0000,-1.0000,0.0000
0.0254,-1.0000,-1.0000,0.0000
0.0254,-1.0000,-1.0000,0.0000
0.0388,-1.0000,-1.0000,0.0000
0.0393,-3.0000,-1.0000,0.0000
0.0393,-1.0000,-1.0000,0.0000
0.0393,-1.0000,-1.0000,0.0000
0.0398,-3.0000,-1.0000,0.0000
0.0398,-3.0000,-1.0000,0.0000
0.0398,-1.0000,-1.0000,0.0000
0.0398,-1.0000,-1.0000,0.0000
0.0404,-1.0000,-1.0000,0.0000
0.0404,-3.0000,-1.0000,0.0000
0.0582,-1.0000,-1.0000,0.0000
0.0582,-1.0000,-1.0000,0.0000
0.0582,-1.0000,0.0000,-1.0000
0.0582,-1.0000,-1.0000,-1.0000
0.0582,-1.0000,-1.0000,0.0000
0.0582,-1.0000,-1.0000,0.0000
0.0582,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0626,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,-1.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0746,-1.0000,-1.0000,0.0000
0.0857,-1.0000,0.0000,-1.0000
0.0857,-1.0000,-1.0000,0.0000
0.0857,-1.0000,-1.0000,0.0000
0.0857,-1.0000,0.0000,0.0000
0.0857,-1.0000,-1.0000,0.0000
0.0857,-1.0000,-1.0000,-1.0000
0.0857,-1.0000,-1.0000,0.0000
0.0887,-1.0000,-1.0000,-1.0000
0.0887,-1.0000,-1.0000,0.0000
0.1009,-1.0000,0.0000,0.0000
0.1009,-1.0000,-1.0000,0.0000
0.1009,-1.0000,-1.0000,-1.0000
0.1009,-1.0000,-1.0000,0.0000
0.1009,-3.0000,-1.0000,0.0000
0.1009,-1.0000,-1.0000,0.0000
0.1083,-1.0000,-1.0000,0.0000
