Czas[s],X[g],Y[g],Z[g]
0.0029,-1.2150,2.0230,9.3840
0.0132,-1.0000,-1.0000,1.0000
0.0132,-1.0000,-1.0000,1.0000
0.0132,-1.0000,-1.0000,0.0000
0.0132,-1.0000,-1.0000,0.0000
0.0132,-1.0000,-1.0000,0.0000
0.0132,-1.0000,-1.0000,0.0000
0.0238,-0.9060,2.1850,8.8610
0.0254,0.0000,-3.0000,0.0000
0.0254,-1.0000,-1.0000,0.0000
0.0254,0.0000,-1.0000,0.0000
0.0254,0.0000,-1.0000,0.0000
0.0254,0.0000,-1.0000,0.0000
0.0254,0.0000,-1.0000,0.0000
0.0371,0.0000,-1.0000,0.0000
0.0371,-1.0000,-1.0000,0.0000
0.0435,-1.0960,2.0920,8.4200
0.0639,-1.5510,0.6990,9.0540
0.0644,-1.0000,-1.0000,0.0000
0.0644,-1.0000,-1.0000,0.0000
0.0700,0.0000,-1.0000,0.0000
0.0766,-1.0000,-1.0000,0.0000
0.0766,0.0000,-1.0000,0.0000
0.0849,-2.0860,1.1530,9.3500
0.0933,-1.0000,-3.0000,0.0000
0.0946,-1.0000,-1.0000,0.0000
0.0946,-1.0000,-1.0000,0.0000
0.0946,-1.0000,-1.0000,0.0000
0.0951,0.0000,-1.0000,0.0000
0.0951,-1.0000,-1.0000,0.0000
0.0951,-1.0000,-1.0000,0.0000
0.1052,-2.1130,2.1260,8.6820
0.1096,0.0000,-1.0000,0.0000
0.1096,0.0000,-1.0000,0.0000
0.1096,0.0000,-1.0000,0.0000
0.1096,0.0000,-1.0000,0.0000
0.1096,0.0000,-1.0000,0.0000
0.1154,0.0000,-1.0000,0.0000
0.1154,0.0000,-1.0000,0.0000
0.1250,-1.5300,1.8870,9.0070
0.1292,-1.0000,-1.0000,-1.0000
0.1292,-1.0000,-1.0000,0.0000
0.1292,-1.0000,-1.0000,0.0000
0.1292,0.0000,-3.0000,0.0000
0.1292,0.0000,-1.0000,1.0000
0.1292,0.0000,-1.0000,0.0000
0.1367,0.0000,-1.0000,0.0000
0.1480,-1.0390,0.8440,9.3580
0.1658,-2.1890,1.1950,9.4180
0.1698,0.0000,-1.0000,0.0000
0.1698,-1.0000,-3.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1698,0.0000,-1.0000,0.0000
0.1862,-1.5840,2.0240,9.1780
0.1926,0.0000,-1.0000,0.0000
0.1926,0.0000,-1.0000,0.0000
0.1926,0.0000,-1.0000,0.0000
0.1926,0.0000,-1.0000,0.0000
0.1926,0.0000,-1.0000,0.0000
0.1930,-1.0000,-1.0000,0.0000
0.1930,0.0000,-3.0000,0.0000
0.1930,-1.0000,-1.0000,0.0000
0.1930,0.0000,-1.0000,0.0000
0.1993,-1.0000,-1.0000,0.0000
0.2067,-1.0110,2.0630,9.4340
0.2206,-1.0000,-1.0000,0.0000
0.2206,0.0000,-1.0000,1.0000
0.2206,-1.0000,-1.0000,0.0000
0.2206,0.0000,-1.0000,1.0000
0.2206,0.0000,-1.0000,0.0000
0.2217,0.0000,-1.0000,0.0000
0.2217,0.0000,-1.0000,0.0000
0.2269,-2.3560,1.1280,8.6100
0.2473,-1.7550,1.4150,9.6370
0.2618,-1.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,0.0000
0.2618,-1.0000,-1.0000,0.0000
0.2618,0.0000,-1.0000,1.0000
0.2618,0.0000,-1.0000,1.0000
0.2618,0.0000,-3.0000,0.0000
0.2675,-2.1750,1.8770,8.9540
0.2723,-1.0000,-1.0000,0.0000
0.2723,-1.0000,-1.0000,0.0000
0.2723,0.0000,-1.0000,0.0000
0.2723,0.0000,-1.0000,-1.0000
0.2723,0.0000,-1.0000,0.0000
0.2723,-1.0000,-1.0000,0.0000
0.2723,0.0000,-1.0000,0.0000
0.2803,0.0000,-1.0000,0.0000
0.2860,-1.0000,-3.0000,0.0000
0.2879,-1.4150,1.6100,8.6460
0.3071,0.0000,-1.0000,0.0000
0.3081,-2.1230,1.2130,8.8460
0.3142,0.0000,-1.0000,0.0000
0.3142,-1.0000,-3.0000,0.0000
0.3142,0.0000,-3.0000,0.0000
0.3142,-1.0000,-1.0000,0.0000
0.3142,0.0000,-1.0000,0.0000
0.3283,-1.9540,1.8400,8.6470
0.3489,-1.5630,1.2290,8.2700
0.3593,0.0000,-1.0000,0.0000
0.3593,0.0000,-3.0000,0.0000
0.3593,0.0000,-1.0000,0.0000
0.3593,0.0000,-1.0000,0.0000
0.3593,-1.0000,-1.0000,0.0000
0.3593,-1.0000,-1.0000,0.0000
0.3593,-1.0000,-1.0000,0.0000
0.3598,0.0000,-1.0000,0.0000
0.3598,0.0000,-1.0000,1.0000
0.3598,0.0000,-1.0000,0.0000
0.3665,0.0000,-1.0000,0.0000
0.3665,0.0000,-1.0000,0.0000
0.3665,0.0000,-1.0000,0.0000
0.3665,0.0000,-1.0000,0.0000
0.3665,0.0000,-1.0000,0.0000
0.3665,-1.0000,-1.0000,0.0000
0.3694,-1.5990,0.8270,8.7590
0.3772,-1.0000,-1.0000,0.0000
0.3772,0.0000,-3.0000,0.0000
0.3772,0.0000,-1.0000,0.0000
0.3772,0.0000,-1.0000,0.0000
0.3804,-1.0000,-1.0000,0.0000
0.3804,0.0000,-3.0000,0.0000
0.3899,-1.5710,1.4260,9.0930
0.4002,0.0000,-1.0000,0.0000
0.4007,-1.0000,-1.0000,0.0000
0.4007,0.0000,-3.0000,0.0000
0.4007,0.0000,-3.0000,0.0000
0.4007,0.0000,-1.0000,0.0000
0.4007,0.0000,-1.0000,0.0000
0.4007,0.0000,-1.0000,0.0000
0.4056,0.0000,-1.0000,0.0000
0.4075,-1.0000,-1.0000,0.0000
0.4105,-1.5200,1.9460,8.6920
0.4183,0.0000,-1.0000,0.0000
0.4183,0.0000,-1.0000,0.0000
0.4183,0.0000,-1.0000,0.0000
0.4308,-1.2950,1.0420,9.0310
0.4318,0.0000,-1.0000,0.0000
0.4324,0.0000,-1.0000,0.0000
0.4324,0.0000,-1.0000,0.0000
0.4324,-1.0000,-3.0000,0.0000
0.4489,0.0000,-1.0000,0.0000
0.4489,-1.0000,-1.0000,0.0000
0.4489,-1.0000,-3.0000,0.0000
0.4489,0.0000,-1.0000,0.0000
0.4494,0.0000,-1.0000,0.0000
0.4494,0.0000,-1.0000,0.0000
0.4539,-1.8220,2.0140,8.2880
0.4544,0.0000,-1.0000,0.0000
0.4619,0.0000,-1.0000,0.0000
0.4653,-1.0000,-3.0000,0.0000
0.4653,-1.0000,-3.0000,1.0000
0.4653,0.0000,-1.0000,0.0000
0.4653,0.0000,-1.0000,0.0000
0.4653,0.0000,-1.0000,0.0000
0.4653,0.0000,-1.0000,0.0000
0.4653,0.0000,-3.0000,0.0000
0.4653,0.0000,-1.0000,0.0000
0.4653,0.0000,-1.0000,0.0000
0.4718,-1.0000,-1.0000,0.0000
0.4718,0.0000,-1.0000,0.0000
0.4718,0.0000,-1.0000,0.0000
0.4718,0.0000,-1.0000,0.0000
0.4718,0.0000,-1.0000,0.0000
0.4718,0.0000,-1.0000,0.0000
0.4718,-1.0000,-1.0000,0.0000
0.4718,-1.9340,1.6520,8.9470
0.4812,0.0000,-1.0000,0.0000
0.4919,-2.4920,1.1180,8.8300
0.5014,-1.0000,-1.0000,0.0000
0.5014,0.0000,-1.0000,0.0000
0.5014,0.0000,-1.0000,0.0000
0.5014,0.0000,-1.0000,0.0000
0.5046,0.0000,-1.0000,0.0000
0.5046,0.0000,-1.0000,0.0000
0.5144,0.0000,-3.0000,0.0000
0.5144,-2.4150,1.0710,9.0690
0.5187,0.0000,-1.0000,0.0000
0.5325,-2.4720,1.3540,9.0040
0.5527,0.0000,-3.0000,0.0000
0.5527,0.0000,-3.0000,0.0000
0.5527,0.0000,-1.0000,1.0000
0.5527,0.0000,-1.0000,1.0000
0.5527,0.0000,-1.0000,1.0000
0.5527,0.0000,-3.0000,0.0000
0.5527,0.0000,-1.0000,0.0000
0.5532,-1.9250,0.6670,9.1630
0.5603,0.0000,-1.0000,0.0000
0.5603,-1.0000,-1.0000,0.0000
0.5603,0.0000,-1.0000,0.0000
0.5625,-1.0000,-3.0000,0.0000
0.5761,-1.9640,1.8180,8.5710
0.5827,0.0000,-1.0000,0.0000
0.5827,-1.0000,-1.0000,0.0000
0.5827,0.0000,-1.0000,0.0000
0.5827,-1.0000,-1.0000,0.0000
0.5943,-1.1800,1.6880,9.3230
0.5955,0.0000,-1.0000,0.0000
0.5955,0.0000,-1.0000,0.0000
0.6149,-1.4480,0.7480,9.2110
0.6155,0.0000,-1.0000,0.0000
0.6256,0.0000,-1.0000,0.0000
0.6256,0.0000,-1.0000,0.0000
0.6333,0.0000,-1.0000,0.0000
0.6333,0.0000,-1.0000,0.0000
0.6401,-1.2680,0.9650,8.2550
0.6406,0.0000,-1.0000,0.0000
0.6439,0.0000,-1.0000,0.0000
0.6533,0.0000,-1.0000,0.0000
0.6562,-1.4540,0.6730,9.1280
0.6634,0.0000,-3.0000,0.0000
0.6634,-1.0000,-3.0000,0.0000
0.6634,-1.0000,-1.0000,0.0000
0.6680,0.0000,-1.0000,0.0000
0.6762,-1.6880,0.9360,8.0670
0.6772,0.0000,-1.0000,0.0000
0.6894,-1.0000,-1.0000,0.0000
0.6894,0.0000,-1.0000,0.0000
0.6894,-1.0000,-1.0000,0.0000
0.6966,-1.3800,0.9420,9.1350
0.7116,0.0000,-1.0000,0.0000
0.7140,0.0000,-1.0000,0.0000
0.7140,0.0000,-1.0000,1.0000
0.7140,0.0000,-1.0000,0.0000
0.7140,0.0000,-3.0000,0.0000
