Czas[s],X[g],Y[g],Z[g]
0.0021,-1.0000,-1.0000,-1.0000
0.0032,-1.0000,-1.0000,0.0000
0.0067,-1.0000,-1.0000,0.0000
0.0084,-1.0000,-1.0000,0.0000
0.0112,-1.0000,-1.0000,0.0000
0.0138,-1.0000,-1.0000,0.0000
0.0138,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,-1.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0344,-1.0000,-1.0000,0.0000
0.0414,-1.0000,-1.0000,0.0000
0.0414,-1.0000,-1.0000,0.0000
0.0414,-1.0000,-1.0000,0.0000
0.0414,-1.0000,-1.0000,0.0000
0.0419,-1.0000,-1.0000,0.0000
0.0419,-3.0000,-1.0000,0.0000
0.0419,-1.0000,-1.0000,0.0000
0.0419,-1.0000,-1.0000,-1.0000
0.0419,-1.0000,-1.0000,0.0000
0.0419,-1.0000,-1.0000,0.0000
0.0454,-1.0000,-1.0000,-1.0000
0.0454,-1.0000,0.0000,-1.0000
0.0454,-1.0000,-1.0000,0.0000
0.0454,-1.0000,-1.0000,0.0000
0.0485,-1.0000,-1.0000,-1.0000
0.0485,-1.0000,-1.0000,0.0000
0.0485,-1.0000,-1.0000,0.0000
0.0518,-1.0000,-1.0000,0.0000
0.0518,-1.0000,-1.0000,0.0000
0.0561,-1.0000,-1.0000,0.0000
0.0561,-3.0000,-1.0000,0.0000
0.0561,-1.0000,-1.0000,0.0000
0.0606,-1.0000,-1.0000,0.0000
0.0606,-1.0000,-1.0000,0.0000
0.0623,-1.0000,-1.0000,-1.0000
0.0657,-1.0000,-1.0000,-1.0000
0.0717,-3.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-1.0000,-1.0000,-1.0000
0.0826,-1.0000,-1.0000,0.0000
0.0826,-3.0000,-1.0000,-1.0000
0.0826,-1.0000,-1.0000,-1.0000
0.0826,-1.0000,-1.0000,0.0000
0.0893,-1.0000,-1.0000,0.0000
0.0893,-3.0000,-1.0000,0.0000
0.0893,-3.0000,-1.0000,0.0000
0.0893,-3.0000,-1.0000,0.0000
0.0893,-3.0000,-1.0000,0.0000
0.0893,-1.0000,-1.0000,-1.0000
0.1015,-1.0000,-1.0000,0.0000
0.1015,-1.0000,-1.0000,0.0000
0.1015,-1.0000,-1.0000,0.0000
0.1037,-1.0000,-1.0000,-1.0000
0.1037,-1.0000,-1.0000,-1.0000
0.1037,-3.0000,-1.0000,0.0000
0.1119,-1.0000,-1.0000,-1.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-3.0000,-1.0000,0.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-3.0000,-1.0000,0.0000
0.1168,-1.0000,-1.0000,0.0000
0.1168,-1.0000,-1.0000,0.0000
0.1168,-1.0000,-1.0000,0.0000
0.1168,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1309,-1.0000,-1.0000,0.0000
0.1314,-1.0000,0.0000,-1.0000
0.1432,-1.0000,-1.0000,0.0000
0.1438,-3.0000,-1.0000,0.0000
0.1438,-1.0000,-1.0000,0.0000
0.1438,-1.0000,-1.0000,0.0000
0.1438,-3.0000,-1.0000,-1.0000
0.1438,-1.0000,-1.0000,0.0000
0.1438,-3.0000,-1.0000,0.0000
0.1438,-1.0000,-1.0000,0.0000
0.1438,-1.0000,-1.0000,0.0000
0.1438,-1.0000,-1.0000,0.0000
0.1580,-1.0000,-1.0000,0.0000
0.1591,-1.0000,-1.0000,0.0000
0.1591,-1.0000,-1.0000,0.0000
0.1596,-1.0000,-1.0000,0.0000
0.1596,-1.0000,-1.0000,-1.0000
0.1596,-1.0000,-1.0000,0.0000
0.1596,-3.0000,-1.0000,0.0000
0.1604,-1.0000,-1.0000,0.0000
0.1610,-1.0000,-1.0000,0.0000
0.1637,-1.0000,-1.0000,0.0000
0.1637,-1.0000,-1.0000,-1.0000
0.1637,-1.0000,-1.0000,0.0000
0.1682,-1.0000,-1.0000,0.0000
0.1687,-1.0000,-1.0000,-1.0000
0.1687,-1.0000,-1.0000,0.0000
0.1687,-1.0000,-1.0000,0.0000
